mr_iid,autor,comentarios,discussoes,discussoes_resolvidas,participantes
98,Developer_01,31,20,15,3
97,Developer_01,16,12,3,3
95,Developer_01,35,20,9,2
94,Developer_01,32,20,10,2
93,Developer_01,58,20,15,2
92,Developer_01,31,20,10,3
91,Developer_01,19,13,2,2
90,Developer_01,33,20,10,3
89,Developer_01,40,20,15,3
88,Developer_01,29,15,3,3
87,Developer_01,18,13,5,3
86,Developer_01,45,20,17,2
85,Developer_01,8,7,0,2
84,Developer_01,27,20,7,2
83,Developer_01,29,20,8,3
82,Developer_01,13,10,0,2
81,Developer_01,24,14,4,2
80,Developer_01,13,9,0,3
79,Developer_01,11,8,0,2
78,Developer_01,4,4,0,2
77,Developer_01,3,3,0,2
76,Developer_01,18,14,5,2
75,Developer_01,9,8,3,2
74,Developer_01,26,16,7,2
73,Developer_01,11,7,2,2
72,Developer_01,6,5,0,2
71,Developer_01,29,20,4,2
70,Developer_01,13,10,1,2
69,Developer_01,4,4,0,2
68,Developer_01,27,19,8,2
67,Developer_01,13,11,4,2
66,Developer_01,4,4,0,2
65,Developer_01,12,6,0,2
64,Developer_01,3,3,0,2
63,Developer_01,3,3,0,2
62,Developer_01,18,15,1,2
61,Developer_01,10,9,2,2
60,Developer_01,5,5,0,2
59,Developer_01,4,4,0,2
58,Developer_01,5,5,0,2
57,Developer_01,35,19,5,2
56,Developer_01,8,6,1,2
55,Developer_01,8,6,0,2
54,Developer_01,25,20,7,2
53,Developer_01,30,20,8,2
52,Developer_01,16,13,3,2
51,Developer_01,13,9,3,2
50,Developer_01,11,10,3,2
49,Developer_01,27,20,8,2
48,Developer_01,25,20,8,2
47,Developer_01,20,13,1,2
46,Developer_01,12,9,3,2
45,Developer_01,13,10,4,2
44,Developer_01,13,12,0,2
43,Developer_01,10,9,2,2
42,Developer_01,19,14,7,2
41,Developer_01,15,13,4,2
40,Developer_01,10,8,2,2
39,Developer_01,16,11,5,2
38,Developer_01,12,10,2,2
37,Developer_01,29,19,8,2
36,Developer_01,16,12,5,2
35,Developer_01,13,11,3,2
34,Developer_01,29,20,14,3
33,Developer_01,11,9,0,3
32,Developer_01,14,11,0,3
31,Developer_01,12,8,1,3
30,Developer_01,12,10,2,2
29,Developer_01,4,4,0,2
28,Developer_01,11,10,0,2
27,Developer_01,5,5,0,2
26,Developer_01,5,5,0,2
25,Developer_01,10,8,1,2
24,Developer_01,11,9,2,2
23,Developer_01,20,16,5,2
22,Developer_01,20,15,5,2
21,Developer_01,16,12,5,2
20,Developer_01,6,6,0,2
19,Developer_01,29,20,9,2
18,Developer_01,9,7,1,2
17,Developer_01,3,3,0,1
16,Developer_04,21,15,2,4
15,Developer_01,26,20,9,2
14,Developer_01,6,6,0,2
13,Developer_01,27,18,8,2
12,Developer_01,27,20,10,2
11,Developer_01,1,1,0,1
10,Developer_01,20,20,0,2
9,Developer_01,9,8,1,2
8,Developer_01,3,3,0,2
7,Developer_01,33,20,11,2
6,Developer_01,10,9,1,2
5,Developer_01,19,15,4,2
4,Developer_01,11,10,3,2
3,Developer_01,5,5,0,2
2,Developer_01,19,14,5,2
1,Developer_01,14,11,2,2
